Data;Dolar_Comercial
13/04/2023;4.927
12/04/2023;4.944
11/04/2023;5.007
10/04/2023;5.07
06/04/2023;5.06
05/04/2023;5.054
04/04/2023;5.087
03/04/2023;5.074
31/03/2023;5.069
30/03/2023;5.101
29/03/2023;5.141
28/03/2023;5.166
27/03/2023;5.211
24/03/2023;5.248
23/03/2023;5.289
22/03/2023;5.218
21/03/2023;5.243
20/03/2023;5.243
17/03/2023;5.274
16/03/2023;5.243
15/03/2023;5.294
14/03/2023;5.256
13/03/2023;5.268
10/03/2023;5.215
09/03/2023;5.134
08/03/2023;5.143
07/03/2023;5.191
06/03/2023;5.166
03/03/2023;5.198
02/03/2023;5.204
01/03/2023;5.196
28/02/2023;5.221
27/02/2023;5.195
24/02/2023;5.206
23/02/2023;5.132
22/02/2023;5.169
17/02/2023;5.162
16/02/2023;5.22
15/02/2023;5.216
14/02/2023;5.201
13/02/2023;5.182
10/02/2023;5.223
09/02/2023;5.27
08/02/2023;5.189
07/02/2023;5.199
06/02/2023;5.176
03/02/2023;5.139
02/02/2023;5.036
01/02/2023;5.09
31/01/2023;5.078
30/01/2023;5.112
27/01/2023;5.111
26/01/2023;5.072
25/01/2023;5.076
24/01/2023;5.147
23/01/2023;5.196
20/01/2023;5.203
19/01/2023;5.175
18/01/2023;5.159
17/01/2023;5.108
16/01/2023;5.151
13/01/2023;5.094
12/01/2023;5.094
11/01/2023;5.186
10/01/2023;5.202
09/01/2023;5.255
06/01/2023;5.243
05/01/2023;5.362
04/01/2023;5.454
03/01/2023;5.448
02/01/2023;5.36
29/12/2022;5.28
28/12/2022;5.253
27/12/2022;5.284
26/12/2022;5.208
23/12/2022;5.164
22/12/2022;5.177
21/12/2022;5.197
20/12/2022;5.208
19/12/2022;5.308
16/12/2022;5.298
15/12/2022;5.322
14/12/2022;5.321
13/12/2022;5.316
12/12/2022;5.325
09/12/2022;5.24
08/12/2022;5.212
07/12/2022;5.21
06/12/2022;5.269
05/12/2022;5.28
02/12/2022;5.222
01/12/2022;5.205
30/11/2022;5.21
29/11/2022;5.291
28/11/2022;5.366
25/11/2022;5.41
24/11/2022;5.312
23/11/2022;5.372
22/11/2022;5.381
21/11/2022;5.311
18/11/2022;5.366
17/11/2022;5.431
16/11/2022;5.384
14/11/2022;5.331
11/11/2022;5.341
10/11/2022;5.397
09/11/2022;5.178
08/11/2022;5.169
07/11/2022;5.155
04/11/2022;5.034
03/11/2022;5.113
01/11/2022;5.112
31/10/2022;5.174
28/10/2022;5.314
27/10/2022;5.299
26/10/2022;5.373
25/10/2022;5.315
24/10/2022;5.289
21/10/2022;5.148
20/10/2022;5.224
19/10/2022;5.272
18/10/2022;5.261
17/10/2022;5.295
14/10/2022;5.328
13/10/2022;5.279
11/10/2022;5.27
10/10/2022;5.183
07/10/2022;5.225
06/10/2022;5.204
05/10/2022;5.174
04/10/2022;5.176
03/10/2022;5.177
30/09/2022;5.379
29/09/2022;5.398
28/09/2022;5.347
27/09/2022;5.38
26/09/2022;5.389
23/09/2022;5.251
22/09/2022;5.113
21/09/2022;5.167
20/09/2022;5.161
19/09/2022;5.163
16/09/2022;5.257
15/09/2022;5.243
14/09/2022;5.18
13/09/2022;5.189
12/09/2022;5.091
09/09/2022;5.15
08/09/2022;5.209
06/09/2022;5.242
05/09/2022;5.153
02/09/2022;5.177
01/09/2022;5.235
31/08/2022;5.202
30/08/2022;5.11
29/08/2022;5.026
26/08/2022;5.074
25/08/2022;5.126
24/08/2022;5.109
23/08/2022;5.1
22/08/2022;5.162
19/08/2022;5.175
18/08/2022;5.174
17/08/2022;5.172
16/08/2022;5.147
15/08/2022;5.093
12/08/2022;5.067
11/08/2022;5.162
10/08/2022;5.093
09/08/2022;5.137
08/08/2022;5.114
05/08/2022;5.168
04/08/2022;5.217
03/08/2022;5.275
02/08/2022;5.28
01/08/2022;5.185
29/07/2022;5.178
28/07/2022;5.161
27/07/2022;5.249
26/07/2022;5.354
25/07/2022;5.374
22/07/2022;5.501
21/07/2022;5.491
20/07/2022;5.461
19/07/2022;5.42
18/07/2022;5.423
15/07/2022;5.407
14/07/2022;5.434
13/07/2022;5.406
12/07/2022;5.438
11/07/2022;5.368
08/07/2022;5.265
07/07/2022;5.344
06/07/2022;5.415
05/07/2022;5.392
04/07/2022;5.326
01/07/2022;5.322
30/06/2022;5.23
29/06/2022;5.196
28/06/2022;5.266
27/06/2022;5.228
24/06/2022;5.258
23/06/2022;5.229
22/06/2022;5.17
21/06/2022;5.151
20/06/2022;5.185
17/06/2022;5.14
15/06/2022;5.025
14/06/2022;5.14
13/06/2022;5.123
10/06/2022;4.981
09/06/2022;4.911
08/06/2022;4.881
07/06/2022;4.871
06/06/2022;4.801
03/06/2022;4.784
02/06/2022;4.794
01/06/2022;4.799
31/05/2022;4.751
30/05/2022;4.751
27/05/2022;4.738
26/05/2022;4.761
25/05/2022;4.811
24/05/2022;4.821
23/05/2022;4.813
20/05/2022;4.869
19/05/2022;4.914
18/05/2022;4.987
17/05/2022;4.942
16/05/2022;5.045
13/05/2022;5.054
12/05/2022;5.146
11/05/2022;5.138
10/05/2022;5.125
09/05/2022;5.156
06/05/2022;5.073
05/05/2022;5.029
04/05/2022;4.911
03/05/2022;4.965
02/05/2022;5.067
29/04/2022;4.948
28/04/2022;4.938
27/04/2022;4.964
26/04/2022;4.99
25/04/2022;4.873
22/04/2022;4.797
20/04/2022;4.625
19/04/2022;4.673
18/04/2022;4.658
14/04/2022;4.692
13/04/2022;4.686
12/04/2022;4.678
11/04/2022;4.683
08/04/2022;4.705
07/04/2022;4.745
06/04/2022;4.72
05/04/2022;4.657
04/04/2022;4.612
01/04/2022;4.669
31/03/2022;4.761
30/03/2022;4.782
29/03/2022;4.761
28/03/2022;4.77
25/03/2022;4.751
24/03/2022;4.827
23/03/2022;4.838
22/03/2022;4.919
21/03/2022;4.952
18/03/2022;5.014
17/03/2022;5.038
16/03/2022;5.105
15/03/2022;5.154
14/03/2022;5.129
11/03/2022;5.052
10/03/2022;5.018
09/03/2022;5.011
08/03/2022;5.056
07/03/2022;5.079
04/03/2022;5.079
03/03/2022;5.024
02/03/2022;5.11
25/02/2022;5.145
24/02/2022;5.117
23/02/2022;5.003
22/02/2022;5.065
21/02/2022;5.106
18/02/2022;5.138
17/02/2022;5.169
16/02/2022;5.128
15/02/2022;5.181
14/02/2022;5.217
11/02/2022;5.226
10/02/2022;5.226
09/02/2022;5.22
08/02/2022;5.255
07/02/2022;5.26
04/02/2022;5.326
03/02/2022;5.293
02/02/2022;5.285
01/02/2022;5.27
31/01/2022;5.303
28/01/2022;5.393
27/01/2022;5.427
26/01/2022;5.407
25/01/2022;5.44
24/01/2022;5.503
21/01/2022;5.457
20/01/2022;5.411
19/01/2022;5.464
18/01/2022;5.556
17/01/2022;5.524
14/01/2022;5.522
13/01/2022;5.519
12/01/2022;5.535
11/01/2022;5.579
10/01/2022;5.672
07/01/2022;5.633
06/01/2022;5.686
05/01/2022;5.663
04/01/2022;5.687
03/01/2022;5.661
30/12/2021;5.575
29/12/2021;5.694
28/12/2021;5.637
27/12/2021;5.636
23/12/2021;5.663
22/12/2021;5.67
21/12/2021;5.737
20/12/2021;5.738
17/12/2021;5.682
16/12/2021;5.675
15/12/2021;5.723
14/12/2021;5.691
13/12/2021;5.673
10/12/2021;5.613
09/12/2021;5.58
08/12/2021;5.538
07/12/2021;5.618
06/12/2021;5.686
03/12/2021;5.677
02/12/2021;5.652
01/12/2021;5.665
30/11/2021;5.647
29/11/2021;5.615
26/11/2021;5.6
25/11/2021;5.563
24/11/2021;5.593
23/11/2021;5.608
22/11/2021;5.59
19/11/2021;5.604
18/11/2021;5.569
17/11/2021;5.526
16/11/2021;5.492
12/11/2021;5.455
11/11/2021;5.398
10/11/2021;5.495
09/11/2021;5.483
08/11/2021;5.549
05/11/2021;5.51
04/11/2021;5.615
03/11/2021;5.595
01/11/2021;5.671
29/10/2021;5.648
28/10/2021;5.628
27/10/2021;5.57
26/10/2021;5.567
25/10/2021;5.546
22/10/2021;5.64
21/10/2021;5.654
20/10/2021;5.547
19/10/2021;5.587
18/10/2021;5.514
15/10/2021;5.46
14/10/2021;5.52
13/10/2021;5.511
11/10/2021;5.532
08/10/2021;5.51
07/10/2021;5.503
06/10/2021;5.488
05/10/2021;5.469
04/10/2021;5.452
01/10/2021;5.363
30/09/2021;5.437
29/09/2021;5.426
28/09/2021;5.43
27/09/2021;5.38
24/09/2021;5.346
23/09/2021;5.308
22/09/2021;5.301
21/09/2021;5.282
20/09/2021;5.351
17/09/2021;5.283
16/09/2021;5.275
15/09/2021;5.242
14/09/2021;5.261
13/09/2021;5.231
10/09/2021;5.266
09/09/2021;5.307
08/09/2021;5.313
06/09/2021;5.175
03/09/2021;5.184
02/09/2021;5.185
01/09/2021;5.174
31/08/2021;5.175
30/08/2021;5.187
27/08/2021;5.196
26/08/2021;5.25
25/08/2021;5.21
24/08/2021;5.259
23/08/2021;5.372
20/08/2021;5.378
19/08/2021;5.416
18/08/2021;5.36
17/08/2021;5.268
16/08/2021;5.286
13/08/2021;5.243
12/08/2021;5.254
11/08/2021;5.228
10/08/2021;5.198
09/08/2021;5.238
06/08/2021;5.241
05/08/2021;5.203
04/08/2021;5.189
03/08/2021;5.183
02/08/2021;5.163
30/07/2021;5.197
29/07/2021;5.077
28/07/2021;5.114
27/07/2021;5.178
26/07/2021;5.175
23/07/2021;5.217
22/07/2021;5.209
21/07/2021;5.183
20/07/2021;5.219
19/07/2021;5.256
16/07/2021;5.12
15/07/2021;5.125
14/07/2021;5.072
13/07/2021;5.171
12/07/2021;5.17
09/07/2021;5.239
08/07/2021;5.254
07/07/2021;5.234
06/07/2021;5.2
05/07/2021;5.083
02/07/2021;5.048
01/07/2021;5.048
30/06/2021;4.973
29/06/2021;4.938
28/06/2021;4.926
25/06/2021;4.952
24/06/2021;4.905
23/06/2021;4.965
22/06/2021;4.964
21/06/2021;5.022
18/06/2021;5.07
17/06/2021;5.024
16/06/2021;5.045
15/06/2021;5.043
14/06/2021;5.072
11/06/2021;5.12
10/06/2021;5.064
09/06/2021;5.07
08/06/2021;5.038
07/06/2021;5.037
04/06/2021;5.035
02/06/2021;5.092
01/06/2021;5.156
31/05/2021;5.225
28/05/2021;5.218
27/05/2021;5.253
26/05/2021;5.309
25/05/2021;5.337
24/05/2021;5.322
21/05/2021;5.348
20/05/2021;5.273
19/05/2021;5.315
18/05/2021;5.246
17/05/2021;5.266
14/05/2021;5.27
13/05/2021;5.299
12/05/2021;5.296
11/05/2021;5.224
10/05/2021;5.231
07/05/2021;5.222
06/05/2021;5.281
05/05/2021;5.366
04/05/2021;5.433
03/05/2021;5.422
30/04/2021;5.434
29/04/2021;5.354
28/04/2021;5.364
27/04/2021;5.465
26/04/2021;5.458
23/04/2021;5.495
22/04/2021;5.462
20/04/2021;5.557
19/04/2021;5.562
16/04/2021;5.586
15/04/2021;5.624
14/04/2021;5.674
13/04/2021;5.701
12/04/2021;5.725
09/04/2021;5.678
08/04/2021;5.573
07/04/2021;5.649
06/04/2021;5.598
05/04/2021;5.672
01/04/2021;5.706
31/03/2021;5.624
30/03/2021;5.747
